day_of_week,agent,avg_similarity,num_instances
Monday,alex,0.3797240316011685,2
Monday,bella,0.4456962047154249,2
Monday,charlie,0.4738322651798357,2
Monday,diana,0.4891026648497041,2
Monday,ethan,0.44183522984936063,2
Monday,fiona,0.6217067706830375,2
Tuesday,alex,0.49737439168676545,2
Tuesday,bella,0.5099503327170334,2
Tuesday,charlie,0.44016922076177956,2
Tuesday,diana,0.446349510464382,2
Tuesday,ethan,0.4455598826491234,2
Tuesday,fiona,0.5461300465463954,2
Wednesday,alex,0.46660540867587375,2
Wednesday,bella,0.43162087791363346,2
Wednesday,charlie,0.46879609755159235,2
Wednesday,diana,0.4659135521985185,2
Wednesday,ethan,0.4479975123800135,2
Wednesday,fiona,0.5185179280375789,2
Thursday,alex,0.5031534798338928,2
Thursday,bella,0.43115964164102505,2
Thursday,charlie,0.43623813362082187,2
Thursday,diana,0.48697183187754467,2
Thursday,ethan,0.45852942128509033,2
Thursday,fiona,0.4778978093704864,2
Friday,alex,0.45433783572235686,2
Friday,bella,0.4709443443000332,2
Friday,charlie,0.5036729947598719,2
Friday,diana,0.513427911126928,2
Friday,ethan,0.49548123473062433,2
Friday,fiona,0.5362457764962789,2
Saturday,alex,0.44150636823659184,2
Saturday,bella,0.44133134762813864,2
Saturday,charlie,0.5371189502749631,2
Saturday,diana,0.5060170531174002,2
Saturday,ethan,0.416853731564383,2
Saturday,fiona,0.5392874776192533,2
Sunday,alex,0.4446103657078413,2
Sunday,bella,0.41552589951825114,2
Sunday,charlie,0.5441446295560188,2
Sunday,diana,0.4539831643681367,2
Sunday,ethan,0.39572591629264187,2
Sunday,fiona,0.44841112669905714,2
