day,agent,similarity,day_of_week
day_1_Monday,alex,0.21505918497249055,Monday
day_1_Monday,bella,0.1745905332379012,Monday
day_1_Monday,charlie,0.1802692060468466,Monday
day_1_Monday,diana,0.12465859134501196,Monday
day_1_Monday,ethan,0.13026090635078488,Monday
day_1_Monday,fiona,0.07837281824683587,Monday
day_2_Tuesday,alex,0.1677917184625303,Tuesday
day_2_Tuesday,bella,0.15773741644906708,Tuesday
day_2_Tuesday,charlie,0.15483388211223587,Tuesday
day_2_Tuesday,diana,0.17214451874128628,Tuesday
day_2_Tuesday,ethan,0.15559454590936475,Tuesday
day_2_Tuesday,fiona,0.11550813184467291,Tuesday
day_3_Wednesday,alex,0.18713409725383245,Wednesday
day_3_Wednesday,bella,0.12399457504895077,Wednesday
day_3_Wednesday,charlie,0.201831637111001,Wednesday
day_3_Wednesday,diana,0.11264973396314545,Wednesday
day_3_Wednesday,ethan,0.12805669610392018,Wednesday
day_3_Wednesday,fiona,0.08898777812359457,Wednesday
day_4_Thursday,alex,0.20154515300087814,Thursday
day_4_Thursday,bella,0.18385804452999738,Thursday
day_4_Thursday,charlie,0.24677600777474692,Thursday
day_4_Thursday,diana,0.14673441284684563,Thursday
day_4_Thursday,ethan,0.14033260980521933,Thursday
day_4_Thursday,fiona,0.1784767747850304,Thursday
day_5_Friday,alex,0.14809284233513906,Friday
day_5_Friday,bella,0.11049893275863337,Friday
day_5_Friday,charlie,0.13171418570127852,Friday
day_5_Friday,diana,0.11150365257011807,Friday
day_5_Friday,ethan,0.17379318787759682,Friday
day_5_Friday,fiona,0.0835251236014989,Friday
day_6_Saturday,alex,0.13336236045448316,Saturday
day_6_Saturday,bella,0.14709413146731598,Saturday
day_6_Saturday,charlie,0.1685797438903785,Saturday
day_6_Saturday,diana,0.09888745048304226,Saturday
day_6_Saturday,ethan,0.13286716304238422,Saturday
day_6_Saturday,fiona,0.13820050076875448,Saturday
day_7_Sunday,alex,0.1223368964621779,Sunday
day_7_Sunday,bella,0.09256746189299558,Sunday
day_7_Sunday,charlie,0.16209868117847273,Sunday
day_7_Sunday,diana,0.10663492912378537,Sunday
day_7_Sunday,ethan,0.09460974389811397,Sunday
day_7_Sunday,fiona,0.08576061069004819,Sunday
day_8_Monday,alex,0.18915379884699873,Monday
day_8_Monday,bella,0.21912436155425682,Monday
day_8_Monday,charlie,0.20123687544352853,Monday
day_8_Monday,diana,0.21427642381538056,Monday
day_8_Monday,ethan,0.21591867593921132,Monday
day_8_Monday,fiona,0.17545349078835815,Monday
day_9_Tuesday,alex,0.2313117235848068,Tuesday
day_9_Tuesday,bella,0.14226759364792432,Tuesday
day_9_Tuesday,charlie,0.16192712697637385,Tuesday
day_9_Tuesday,diana,0.11691201954021488,Tuesday
day_9_Tuesday,ethan,0.24378782508326174,Tuesday
day_9_Tuesday,fiona,0.15947505091144643,Tuesday
day_10_Wednesday,alex,0.15690830452051172,Wednesday
day_10_Wednesday,bella,0.09776375227393413,Wednesday
day_10_Wednesday,charlie,0.15039897507514888,Wednesday
day_10_Wednesday,diana,0.1281988149196046,Wednesday
day_10_Wednesday,ethan,0.13850865047881125,Wednesday
day_10_Wednesday,fiona,0.10569131872221497,Wednesday
day_11_Thursday,alex,0.19283337959879893,Thursday
day_11_Thursday,bella,0.17719146586339224,Thursday
day_11_Thursday,charlie,0.16779391432072677,Thursday
day_11_Thursday,diana,0.14599221429159062,Thursday
day_11_Thursday,ethan,0.15225818595582327,Thursday
day_11_Thursday,fiona,0.14804254190071087,Thursday
day_12_Friday,alex,0.18160676940228573,Friday
day_12_Friday,bella,0.10387953344139336,Friday
day_12_Friday,charlie,0.11745225188905066,Friday
day_12_Friday,diana,0.104619938528981,Friday
day_12_Friday,ethan,0.22318524173907153,Friday
day_12_Friday,fiona,0.11883120232342126,Friday
day_13_Saturday,alex,0.14157718748012293,Saturday
day_13_Saturday,bella,0.09702264826820672,Saturday
day_13_Saturday,charlie,0.11016071555868527,Saturday
day_13_Saturday,diana,0.08455841094869145,Saturday
day_13_Saturday,ethan,0.09320366643708743,Saturday
day_13_Saturday,fiona,0.11727021516479681,Saturday
day_14_Sunday,alex,0.17592378546917192,Sunday
day_14_Sunday,bella,0.16236914317413326,Sunday
day_14_Sunday,charlie,0.14813983955146243,Sunday
day_14_Sunday,diana,0.12726358094478513,Sunday
day_14_Sunday,ethan,0.18232861379277038,Sunday
day_14_Sunday,fiona,0.15124393465864602,Sunday
