day,agent,day_of_week,sentiment_polarity,sentiment_subjectivity,word_count,sentence_count,avg_sentence_length,positive_emotions,negative_emotions,social_behavior,work_behavior,routine_words
day_1_Monday,alex,Monday,0.1830834839763411,0.466742463885321,653,48,13.604166666666666,9,0,7,14,12
day_1_Monday,bella,Monday,0.07875584200211064,0.5410711593547414,496,33,15.030303030303031,1,0,6,4,9
day_1_Monday,charlie,Monday,0.18254683534855948,0.4822790715032094,512,32,16.0,5,0,7,2,10
day_1_Monday,diana,Monday,0.19735299422799424,0.5121295371295371,472,34,13.882352941176471,6,1,4,7,9
day_1_Monday,ethan,Monday,0.22619383619383607,0.49904931404931413,621,44,14.113636363636363,8,0,8,18,10
day_1_Monday,fiona,Monday,0.15890637140637137,0.534032634032634,599,38,15.763157894736842,5,0,12,8,9
day_2_Tuesday,alex,Tuesday,0.12619047619047616,0.47538285267158514,625,43,14.534883720930232,5,0,8,21,8
day_2_Tuesday,bella,Tuesday,0.191852955787382,0.5196100347739692,551,37,14.891891891891891,1,0,7,3,7
day_2_Tuesday,charlie,Tuesday,0.17027089072543614,0.5304788141151777,428,26,16.46153846153846,6,0,9,3,11
day_2_Tuesday,diana,Tuesday,0.14977880306827673,0.5137998879775197,604,34,17.764705882352942,5,0,5,6,9
day_2_Tuesday,ethan,Tuesday,0.1946501303356142,0.49590373783922165,577,36,16.02777777777778,7,0,7,15,11
day_2_Tuesday,fiona,Tuesday,0.17122222222222216,0.5123589743589745,578,39,14.820512820512821,4,1,5,11,11
day_3_Wednesday,alex,Wednesday,0.18528104495085623,0.46065779084647,551,38,14.5,5,0,9,12,8
day_3_Wednesday,bella,Wednesday,0.1512814836678473,0.5185392889938345,492,33,14.909090909090908,1,1,8,4,10
day_3_Wednesday,charlie,Wednesday,0.20663525785808395,0.4887108664282579,666,38,17.526315789473685,9,0,15,5,10
day_3_Wednesday,diana,Wednesday,0.1493363338601434,0.5331157378776428,498,28,17.785714285714285,4,1,6,7,10
day_3_Wednesday,ethan,Wednesday,0.15617299367299364,0.4756621156621156,612,41,14.926829268292684,3,1,1,16,13
day_3_Wednesday,fiona,Wednesday,0.10032348370583664,0.5153474140238845,635,48,13.229166666666666,7,1,9,9,7
day_4_Thursday,alex,Thursday,0.15538234596453773,0.4745216351380734,742,50,14.84,11,0,9,18,10
day_4_Thursday,bella,Thursday,0.12723042109405747,0.5053207398661943,533,35,15.228571428571428,1,0,9,6,8
day_4_Thursday,charlie,Thursday,0.14920416284052646,0.46778772574227123,496,35,14.17142857142857,6,0,9,5,15
day_4_Thursday,diana,Thursday,0.18425550144300143,0.4903872912801485,442,31,14.258064516129032,5,0,5,6,9
day_4_Thursday,ethan,Thursday,0.19095268157768155,0.4808473933473934,577,32,18.03125,2,0,6,9,9
day_4_Thursday,fiona,Thursday,0.15283607294476856,0.5037868331346591,486,39,12.461538461538462,4,0,8,4,5
day_5_Friday,alex,Friday,0.15854454685099842,0.5278545826932924,562,38,14.789473684210526,5,0,5,15,6
day_5_Friday,bella,Friday,0.11398569023569022,0.4765572390572389,463,32,14.46875,1,1,6,3,10
day_5_Friday,charlie,Friday,0.1882251082251082,0.5009606266749124,501,33,15.181818181818182,6,0,9,4,11
day_5_Friday,diana,Friday,0.19505673170056728,0.510814603965289,518,37,14.0,7,2,3,6,12
day_5_Friday,ethan,Friday,0.14528464367174043,0.4683080808080808,545,36,15.13888888888889,4,0,7,13,4
day_5_Friday,fiona,Friday,0.08901515151515152,0.5584818775995245,543,39,13.923076923076923,3,1,6,8,9
day_6_Saturday,alex,Saturday,0.2083020050125313,0.55588276246171,504,34,14.823529411764707,6,0,6,7,10
day_6_Saturday,bella,Saturday,0.10044586489898992,0.5229809253246752,622,38,16.36842105263158,1,0,3,4,9
day_6_Saturday,charlie,Saturday,0.22097838137472284,0.5250496251715765,638,39,16.358974358974358,15,1,12,5,9
day_6_Saturday,diana,Saturday,0.26820609945609947,0.45942113442113447,503,33,15.242424242424242,9,0,5,7,8
day_6_Saturday,ethan,Saturday,0.1627420634920635,0.5093293650793651,436,26,16.76923076923077,2,0,3,6,7
day_6_Saturday,fiona,Saturday,0.10684338809338809,0.48814842564842553,579,34,17.029411764705884,2,1,8,0,9
day_7_Sunday,alex,Sunday,0.17097330447330442,0.4614877344877344,491,40,12.275,3,0,10,8,7
day_7_Sunday,bella,Sunday,0.1429672299027138,0.5323425499231951,521,34,15.323529411764707,3,0,5,3,6
day_7_Sunday,charlie,Sunday,0.2674405822935235,0.5256277056277057,647,37,17.486486486486488,13,0,11,3,13
day_7_Sunday,diana,Sunday,0.18153594771241827,0.5144024276377218,631,35,18.02857142857143,5,1,5,8,7
day_7_Sunday,ethan,Sunday,0.19028860028860028,0.5009235209235209,467,27,17.296296296296298,4,0,4,7,9
day_7_Sunday,fiona,Sunday,0.16153198653198653,0.5587041045374379,452,30,15.066666666666666,4,0,5,1,6
day_8_Monday,alex,Monday,0.15177469135802468,0.5053130511463846,470,32,14.6875,6,0,5,12,7
day_8_Monday,bella,Monday,0.14724824355971897,0.4801327088212335,570,35,16.285714285714285,1,0,6,6,8
day_8_Monday,charlie,Monday,0.28607287157287153,0.5582164502164503,591,41,14.414634146341463,11,0,14,3,12
day_8_Monday,diana,Monday,0.17233044733044733,0.4678403579445247,576,35,16.457142857142856,5,0,4,5,10
day_8_Monday,ethan,Monday,0.14280440024110908,0.5064094836246735,652,40,16.3,7,1,6,14,5
day_8_Monday,fiona,Monday,0.13651640994664246,0.5918634853518573,565,37,15.27027027027027,4,0,9,10,8
day_9_Tuesday,alex,Tuesday,0.20573051948051946,0.5188785173160173,722,49,14.73469387755102,8,0,9,17,11
day_9_Tuesday,bella,Tuesday,0.10273774931309178,0.522735673763071,540,34,15.882352941176471,2,0,5,4,8
day_9_Tuesday,charlie,Tuesday,0.19831720567014685,0.4679347613171143,534,33,16.181818181818183,8,0,10,5,11
day_9_Tuesday,diana,Tuesday,0.1832291666666667,0.5720833333333334,439,28,15.678571428571429,3,0,5,4,6
day_9_Tuesday,ethan,Tuesday,0.10878498329156222,0.47073934837092735,677,38,17.81578947368421,1,2,8,16,9
day_9_Tuesday,fiona,Tuesday,0.14837558275058269,0.5017701048951049,726,49,14.816326530612244,5,0,10,6,10
day_10_Wednesday,alex,Wednesday,0.1947120009620009,0.4814333814333814,712,50,14.24,8,0,6,10,9
day_10_Wednesday,bella,Wednesday,0.0706365359350434,0.4641371066744201,524,38,13.789473684210526,2,1,6,3,10
day_10_Wednesday,charlie,Wednesday,0.20697614885114876,0.5164890664890663,484,35,13.82857142857143,9,1,11,4,9
day_10_Wednesday,diana,Wednesday,0.19775685425685424,0.48826984126984135,457,30,15.233333333333333,2,2,5,7,5
day_10_Wednesday,ethan,Wednesday,0.1633520368520368,0.4649621489621488,586,37,15.837837837837839,5,0,5,13,8
day_10_Wednesday,fiona,Wednesday,0.11919280993355062,0.5654098302246447,587,38,15.447368421052632,1,0,8,7,9
day_11_Thursday,alex,Thursday,0.12735668372032008,0.4617853863308408,590,40,14.75,7,0,8,12,6
day_11_Thursday,bella,Thursday,0.17197580645161284,0.5117831541218637,523,36,14.527777777777779,1,1,8,5,5
day_11_Thursday,charlie,Thursday,0.2916258270031855,0.5028179367802009,412,30,13.733333333333333,9,0,8,4,8
day_11_Thursday,diana,Thursday,0.14215429109496902,0.5126704745348813,476,37,12.864864864864865,3,1,6,4,12
day_11_Thursday,ethan,Thursday,0.18154089319343555,0.541068065644337,551,27,20.40740740740741,5,1,9,11,6
day_11_Thursday,fiona,Thursday,0.057128099173553715,0.5141774891774891,633,50,12.66,2,0,7,7,10
day_12_Friday,alex,Friday,0.24973648313492056,0.5221850198412697,651,46,14.152173913043478,7,1,10,18,7
day_12_Friday,bella,Friday,0.15532054499445802,0.47700974548800623,529,39,13.564102564102564,1,0,9,3,6
day_12_Friday,charlie,Friday,0.23161146613527564,0.5339093886712932,540,34,15.882352941176471,9,1,11,5,12
day_12_Friday,diana,Friday,0.1764761904761904,0.486936507936508,558,34,16.41176470588235,6,0,5,6,8
day_12_Friday,ethan,Friday,0.11231909430438844,0.4461426237161532,646,37,17.45945945945946,5,1,7,14,10
day_12_Friday,fiona,Friday,0.1367338801549328,0.5197468102073364,637,41,15.536585365853659,7,0,11,6,7
day_13_Saturday,alex,Saturday,0.1763824226088376,0.5343175692232297,550,39,14.102564102564102,6,0,10,6,7
day_13_Saturday,bella,Saturday,0.13206819551756255,0.5312359581346923,641,41,15.634146341463415,6,1,5,4,10
day_13_Saturday,charlie,Saturday,0.30619418825940575,0.5368320890060021,556,34,16.352941176470587,15,0,9,3,8
day_13_Saturday,diana,Saturday,0.187870019640853,0.5017386163219497,587,35,16.771428571428572,6,1,6,10,7
day_13_Saturday,ethan,Saturday,0.19466976055959104,0.516935700834006,482,32,15.0625,7,0,8,5,5
day_13_Saturday,fiona,Saturday,0.18796710144112744,0.5375515357658214,575,36,15.972222222222221,6,0,7,1,5
day_14_Sunday,alex,Sunday,0.1406898656898657,0.5233363858363859,498,34,14.647058823529411,3,0,9,5,8
day_14_Sunday,bella,Sunday,0.12629606277147262,0.5283942833123161,512,36,14.222222222222221,1,1,5,4,6
day_14_Sunday,charlie,Sunday,0.2732290821158008,0.5174259334415585,505,37,13.64864864864865,11,1,9,3,7
day_14_Sunday,diana,Sunday,0.16572655122655125,0.48947186147186145,477,30,15.9,2,0,4,4,5
day_14_Sunday,ethan,Sunday,0.18511002886002886,0.4910533910533911,531,33,16.09090909090909,6,0,8,3,6
day_14_Sunday,fiona,Sunday,0.1183009809339596,0.5319569171962789,648,38,17.05263157894737,2,0,8,1,7
